id	label	alternative term	super class	definition	definition source URI	equivalent class axiom	comment	example of usage	editor note	obsoleted	obsolescence reason	term replaced by	contributor URI	link(s) to issue(s)	type
ID	AL rdfs:label@en	AL  IAO:0000118@en SPLIT=|	SC % SPLIT=|	AL IAO:0000115@en	>AI dc11:source SPLIT=|	EC %	AL rdfs:comment@en SPLIT=|	AL IAO:0000112@en	AL IAO:0000116@en SPLIT=|	AT owl:deprecated^^xsd:boolean	AI IAO:0000231	AI IAO:0100001	AI dc11:contributor SPLIT=|	AI rdfs:seeAlso SPLIT=|	TYPE
obo:VIBSO_0000000	vibrational spectrometer configuration specification		setting datum	A setting datum that specifies the needed settings of a spectrometer used in vibrational spectroscopy.									ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/39	owl:Class
obo:VIBSO_0000001	Raman spectrometer configuration		device setting	A device setting that represents the measured or set physical qualities which make up the configuration state of a Raman spectrometer at the time of a measurement (e.g. operating temperature, exitation wavelength, groove density, ...).				The set of meassured configuration characteristics of a Raman spectrometer, like the operating temperature of a Raman spectrometer.					ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/47	owl:Class
obo:VIBSO_0000002	integration time setting	integration time|integration period setting	setting datum	A setting datum that specifies the length of time that a photo detector is allowed to collect photons before passing the accumulated charge to the A/D converter for processing. The minimum integration time is the shortest integration time the device supports and is dependent on how fast the detector can read out all of the pixel information. Integration time should not be confused with data transfer speed.	https://www.oceaninsight.com/knowledge-hub/glossary/#i				This class should better be defined in a more general device ontology or a domain ontology with the scope of optical devices.				ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/40	owl:Class
obo:VIBSO_0000003	preamplifier gain setting		setting datum	A setting datum that specifies the preamplifier gain in CCD sensors.					This class should better be defined in a more general device ontology.				ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/41	owl:Class
obo:VIBSO_0000004	horizontal shift speed setting		setting datum	A setting datum that specifies the horizontal shift speed in CCD sensors.					This class should better be defined in a more general device ontology or a domain ontology with the scope of optical devices.				ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/42	owl:Class
obo:VIBSO_0000005	vertical shift speed setting		setting datum	A setting datum that specifies the vertical shift speed in CCD sensors.					This class should better be defined in a more general device ontology or a domain ontology with the scope of optical devices.				ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/42	owl:Class
obo:VIBSO_0000006	device temperature setting		setting datum	A setting datum that specifies the operating temperature of a device.					This class should better be defined in a more general device ontology.				ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/43	owl:Class
obo:VIBSO_0000007	number of accumulations	number of acquisitions	setting datum	A setting datum that specifies the desired number of measurements a spectrometer has to perform on the same location, without position change to produce an usable spectrum. This setting datum is relevant to improve the signal to noise ratio.					This class might better be defined in a more general device ontology.				ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/30	owl:Class
obo:VIBSO_0000008	CCD sensor binning read mode setting		setting datum	A setting datum that specifies the binning read mode of a device with a CCD sensor.					This class should better be defined in a more general device ontology or a domain ontology with the scope of optical devices.				ORCID:0000-0002-1595-3213	https://github.com/NFDI4Chem/VibrationalSpectroscopyOntology/issues/46	owl:Class
